,id,word,constitutive_component,constitutive_policydemic,regulative_component,regulative_policydemic
270,17-20,Human,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
271,17-21,Services,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
272,17-22,in,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
273,17-23,consultation,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
274,17-24,with,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
275,17-25,the,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
276,17-26,Secretary,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
277,17-27,of,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
278,17-28,the,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
279,17-29,Treasury,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
280,17-30,and,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
281,17-31,the,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
282,17-32,Secretary,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
283,17-33,of,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
284,17-34,Labor,(Cex) Execution Constraint[8],*[8],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
285,17-35,.,_,_,_,_
286,18-1,Except,_,_,(I) Aim,*
287,18-2,that,_,_,(Bdir) Object\_Direct[92],*[92]
288,18-3,an,_,_,(Bdir) Object\_Direct[92]|(A) Attribute[93],*[92]|*[93]
289,18-4,employer,_,_,(Bdir) Object\_Direct[92]|(A) Attribute[93],*[92]|*[93]
290,18-5,of,_,_,(Bdir) Object\_Direct[92],*[92]
291,18-6,an,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
292,18-7,employee,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
293,18-8,who,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
294,18-9,is,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
295,18-10,a,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
296,18-11,health,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
297,18-12,care,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
298,18-13,provider,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
299,18-14,or,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
300,18-15,an,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
301,18-16,emergency,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
302,18-17,responder,_,_,"(Bdir) Object\_Direct[92]|(A, prop) Attribute\_Property[94]",*[92]|*[94]
303,18-18,may,_,_,(Bdir) Object\_Direct[92]|(D) Deontic[95],*[92]|*[95]
304,18-19,elect,_,_,(Bdir) Object\_Direct[92]|(I) Aim[96],*[92]|*[96]
305,18-20,to,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
306,18-21,exclude,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
307,18-22,such,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
308,18-23,employee,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
309,18-24,from,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
310,18-25,the,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
311,18-26,application,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
312,18-27,of,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
313,18-28,this,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
314,18-29,subsection,_,_,(Bdir) Object\_Direct[92]|(Bdir) Object\_Direct[97],*[92]|*[97]
315,18-30,.,_,_,_,_
316,19-1,(,_,_,_,_
317,19-2,b,_,_,_,_
318,19-3,),_,_,_,_
319,19-4,DURATION,_,_,_,_
320,19-5,OF,_,_,_,_
321,19-6,PAID,_,_,_,_
322,19-7,SICK,_,_,_,_
323,19-8,TIME,_,_,_,_
324,20-1,.,_,_,_,_
325,21-1,(,_,_,_,_
326,21-2,1,_,_,_,_
327,21-3,),_,_,_,_
328,21-4,IN,_,_,_,_
329,21-5,GENERAL,_,_,_,_
330,21-6,.,_,_,_,_
331,22-1,-,_,_,_,_
332,22-2,-,_,_,_,_
333,22-3,An,(E) Constituted Entity[9],(C) Claimant[9],_,_
334,22-4,employee,(E) Constituted Entity[9],(C) Claimant[9],_,_
335,22-5,shall,(D) Deontic,*,_,_
336,22-6,be,(F) Constitutive Function,*,_,_
337,22-7,entitled,(P) Constituting Property,*,_,_
338,22-8,to,"(P, prop) Constituting Property Property[10]",(B) Benefit[10],_,_
339,22-9,paid,"(P, prop) Constituting Property Property[10]",(B) Benefit[10],_,_
340,22-10,sick,"(P, prop) Constituting Property Property[10]",(B) Benefit[10],_,_
341,22-11,time,"(P, prop) Constituting Property Property[10]",(B) Benefit[10],_,_
342,22-12,for,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
343,22-13,an,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
344,22-14,amount,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
345,22-15,of,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
346,22-16,hours,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
347,22-17,determined,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
348,22-18,under,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
349,22-19,paragraph,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
350,22-20,(,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
351,22-21,2,(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
352,22-22,),(Cex) Execution Constraint[11],(PTL) Provision Time Limit[11],_,_
353,23-1,.,_,_,_,_
354,24-1,(,_,_,_,_
355,24-2,2,_,_,_,_
356,24-3,),_,_,_,_
357,24-4,AMOUNT,_,_,_,_
358,24-5,OF,_,_,_,_
359,24-6,HOURS,_,_,_,_
360,24-7,.,_,_,_,_
361,25-1,-,_,_,_,_
362,25-2,-,_,_,_,_
363,25-3,The,(E) Constituted Entity[12],*[12],_,_
364,25-4,amount,(E) Constituted Entity[12],*[12],_,_
365,25-5,of,"(E, prop) Constituted Entity Property[13]",*[13],_,_
366,25-6,hours,"(E, prop) Constituted Entity Property[13]",*[13],_,_
367,25-7,of,"(E, prop) Constituted Entity Property[13]",*[13],_,_
368,25-8,paid,"(E, prop) Constituted Entity Property[13]",*[13],_,_
369,25-9,sick,"(E, prop) Constituted Entity Property[13]",*[13],_,_
370,25-10,time,"(E, prop) Constituted Entity Property[13]",*[13],_,_
371,25-11,to,"(E, prop) Constituted Entity Property[13]",*[13],_,_
372,25-12,which,"(E, prop) Constituted Entity Property[13]",*[13],_,_
373,25-13,an,"(E, prop) Constituted Entity Property[13]",*[13],_,_
374,25-14,employee,"(E, prop) Constituted Entity Property[13]",*[13],_,_
375,25-15,is,"(E, prop) Constituted Entity Property[13]",*[13],_,_
376,25-16,entitled,"(E, prop) Constituted Entity Property[13]",*[13],_,_
377,25-17,shall,(D) Deontic,*,_,_
378,25-18,be,(F) Constitutive Function,*,_,_
379,25-19,as,(P) Constituting Property[14],*[14],_,_
380,25-20,follows,(P) Constituting Property[14],*[14],_,_
381,25-21,:,_,_,_,_
382,25-22,(,_,_,_,_
383,25-23,A,_,_,_,_
384,25-24,),_,_,_,_
385,25-25,For,(Cex) Execution Constraint[15],*[15],_,_
386,25-26,full-time,(Cex) Execution Constraint[15],*[15],_,_
387,25-27,employees,(Cex) Execution Constraint[15],*[15],_,_
388,25-28,",",_,_,_,_
389,25-29,80,"(P, prop) Constituting Property Property[16]",*[16],_,_
390,25-30,hours,"(P, prop) Constituting Property Property[16]",*[16],_,_
391,25-31,.,_,_,_,_
392,26-1,(,_,_,_,_
393,26-2,B,_,_,_,_
394,26-3,),_,_,_,_
395,26-4,For,(Cex) Execution Constraint[17],*[17],_,_
396,26-5,part-time,(Cex) Execution Constraint[17],*[17],_,_
397,26-6,employees,(Cex) Execution Constraint[17],*[17],_,_
398,26-7,",",_,_,_,_
399,26-8,a,"(P, prop) Constituting Property Property[18]",*[18],_,_
400,26-9,number,"(P, prop) Constituting Property Property[18]",*[18],_,_
401,26-10,of,"(P, prop) Constituting Property Property[18]",*[18],_,_
402,26-11,hours,"(P, prop) Constituting Property Property[18]",*[18],_,_
403,26-12,equal,"(P, prop) Constituting Property Property[18]",*[18],_,_
404,26-13,to,"(P, prop) Constituting Property Property[18]",*[18],_,_
405,26-14,the,"(P, prop) Constituting Property Property[18]",*[18],_,_
406,26-15,number,"(P, prop) Constituting Property Property[18]",*[18],_,_
407,26-16,of,"(P, prop) Constituting Property Property[18]",*[18],_,_
408,26-17,hours,"(P, prop) Constituting Property Property[18]",*[18],_,_
409,26-18,that,"(P, prop) Constituting Property Property[18]",*[18],_,_
410,26-19,such,"(P, prop) Constituting Property Property[18]",*[18],_,_
411,26-20,employee,"(P, prop) Constituting Property Property[18]",*[18],_,_
412,26-21,works,"(P, prop) Constituting Property Property[18]",*[18],_,_
413,26-22,",","(P, prop) Constituting Property Property[18]",*[18],_,_
414,26-23,on,"(P, prop) Constituting Property Property[18]",*[18],_,_
415,26-24,average,"(P, prop) Constituting Property Property[18]",*[18],_,_
416,26-25,",","(P, prop) Constituting Property Property[18]",*[18],_,_
417,26-26,over,"(P, prop) Constituting Property Property[18]",*[18],_,_
418,26-27,a,"(P, prop) Constituting Property Property[18]",*[18],_,_
419,26-28,2,"(P, prop) Constituting Property Property[18]",*[18],_,_
420,26-29,-,"(P, prop) Constituting Property Property[18]",*[18],_,_
421,26-30,week,"(P, prop) Constituting Property Property[18]",*[18],_,_
422,26-31,period,"(P, prop) Constituting Property Property[18]",*[18],_,_
423,27-1,.,_,_,_,_
424,28-1,(,_,_,_,_
425,28-2,3,_,_,_,_
426,28-3,),_,_,_,_
427,28-4,Carryover,_,_,_,_
428,28-5,.,_,_,_,_
429,29-1,-,_,_,_,_
430,29-2,-,_,_,_,_
431,29-3,Paid,_,_,(Bdir) Object\_Direct[98],*[98]
432,29-4,sick,_,_,(Bdir) Object\_Direct[98],*[98]
433,29-5,time,_,_,(Bdir) Object\_Direct[98],*[98]
434,29-6,under,_,_,"(Bdir, prop) Object\_Direct\_Property[99]",*[99]
435,29-7,this,_,_,"(Bdir, prop) Object\_Direct\_Property[99]",*[99]
436,29-8,section,_,_,"(Bdir, prop) Object\_Direct\_Property[99]",*[99]
437,29-9,shall,_,_,(D) Deontic,*
438,29-10,not,_,_,_,_
439,29-11,carry,_,_,(I) Aim,*
440,29-12,over,_,_,(Cex) Execution Constraint[100],*[100]
441,29-13,from,_,_,(Cex) Execution Constraint[100],*[100]
442,29-14,1,_,_,(Cex) Execution Constraint[100],*[100]
443,29-15,year,_,_,(Cex) Execution Constraint[100],*[100]
444,29-16,to,_,_,(Cex) Execution Constraint[100],*[100]
445,29-17,the,_,_,(Cex) Execution Constraint[100],*[100]
446,29-18,next,_,_,(Cex) Execution Constraint[100],*[100]
447,29-19,.,_,_,_,_
448,30-1,(,_,_,_,_
449,30-2,c,_,_,_,_
450,30-3,),_,_,_,_
451,30-4,EMPLOYER'S,_,_,_,_
452,30-5,TERMINATION,_,_,_,_
453,30-6,OF,_,_,_,_
454,30-7,PAID,_,_,_,_
455,30-8,SICK,_,_,_,_
456,30-9,TIME,_,_,_,_
457,30-10,.,_,_,_,_
458,31-1,-,_,_,_,_
459,31-2,-,_,_,_,_
460,31-3,Paid,_,_,(Bdir) Object\_Direct[101],(B) Benefit[101]
461,31-4,sick,_,_,(Bdir) Object\_Direct[101],(B) Benefit[101]
462,31-5,time,_,_,(Bdir) Object\_Direct[101],(B) Benefit[101]
463,31-6,provided,_,_,"(Bdir, prop) Object\_Direct\_Property[102]",(BP) Benefit Property[102]
464,31-7,to,_,_,"(Bdir, prop) Object\_Direct\_Property[102]",(BP) Benefit Property[102]
465,31-8,an,_,_,"(Bdir, prop) Object\_Direct\_Property[102]",(BP) Benefit Property[102]
466,31-9,employee,_,_,"(Bdir, prop) Object\_Direct\_Property[102]",(BP) Benefit Property[102]
467,31-10,under,_,_,"(Bdir, prop) Object\_Direct\_Property[102]",(BP) Benefit Property[102]
468,31-11,this,_,_,"(Bdir, prop) Object\_Direct\_Property[102]",(BP) Benefit Property[102]
469,31-12,Act,_,_,"(Bdir, prop) Object\_Direct\_Property[102]",(BP) Benefit Property[102]
470,31-13,shall,_,_,(D) Deontic,*
471,31-14,cease,_,_,(I) Aim,*
472,31-15,beginning,_,_,(Cac) Activation Condition[103],*[103]
473,31-16,with,_,_,(Cac) Activation Condition[103],*[103]
474,31-17,the,_,_,(Cac) Activation Condition[103],*[103]
475,31-18,employee's,_,_,(Cac) Activation Condition[103],*[103]
476,31-19,next,_,_,(Cac) Activation Condition[103],*[103]
477,31-20,scheduled,_,_,(Cac) Activation Condition[103],*[103]
478,31-21,workshift,_,_,(Cac) Activation Condition[103],*[103]
479,31-22,immediately,_,_,(Cex) Execution Constraint,*
480,31-23,following,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
481,31-24,the,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
482,31-25,termination,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
483,31-26,of,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
484,31-27,the,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
485,31-28,need,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
486,31-29,for,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
487,31-30,paid,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
488,31-31,sick,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
489,31-32,time,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
490,31-33,under,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
491,31-34,subsection,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
492,31-35,(,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
493,31-36,a,_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
494,31-37,),_,_,(Cex) Execution Constraint[104]|(Cex) Execution Constraint[105],*[104]|*[105]
495,31-38,.,_,_,_,_
496,32-1,(,_,_,_,_
497,32-2,d,_,_,_,_
498,32-3,),_,_,_,_
499,32-4,PROHIBITION,_,_,_,_
500,32-5,.,_,_,_,_
501,33-1,-,_,_,_,_
502,33-2,-,_,_,_,_
503,33-3,An,_,_,(A) Attribute[106],*[106]
504,33-4,employer,_,_,(A) Attribute[106],*[106]
505,33-5,may,_,_,*,*
506,33-6,not,_,_,_,_
507,33-7,require,_,_,(I) Aim,*
508,33-8,",",_,_,_,_
509,33-9,as,_,_,(Cex) Execution Constraint[107],*[107]
510,33-10,a,_,_,(Cex) Execution Constraint[107],*[107]
511,33-11,condition,_,_,(Cex) Execution Constraint[107],*[107]
512,33-12,of,_,_,(Cex) Execution Constraint[107],*[107]
513,33-13,providing,_,_,(Cex) Execution Constraint[107],*[107]
514,33-14,paid,_,_,(Cex) Execution Constraint[107],*[107]
515,33-15,sick,_,_,(Cex) Execution Constraint[107],*[107]
516,33-16,time,_,_,(Cex) Execution Constraint[107],*[107]
517,33-17,under,_,_,(Cex) Execution Constraint[107],*[107]
518,33-18,this,_,_,(Cex) Execution Constraint[107],*[107]
519,33-19,Act,_,_,(Cex) Execution Constraint[107],*[107]
520,33-20,",",_,_,_,_
521,33-21,that,_,_,(Bdir) Object\_Direct[108],*[108]
522,33-22,the,_,_,(Bdir) Object\_Direct[108]|(A) Attribute[109],*[108]|*[109]
523,33-23,employee,_,_,(Bdir) Object\_Direct[108]|(A) Attribute[109],*[108]|*[109]
524,33-24,involved,_,_,(Bdir) Object\_Direct[108],*[108]
525,33-25,search,_,_,(Bdir) Object\_Direct[108]|(I) Aim[110],*[108]|*[110]
526,33-26,for,_,_,(Bdir) Object\_Direct[108],*[108]
527,33-27,or,_,_,(Bdir) Object\_Direct[108],*[108]
528,33-28,find,_,_,(Bdir) Object\_Direct[108]|(I) Aim[111],*[108]|*[111]
529,33-29,a,_,_,(Bdir) Object\_Direct[108],*[108]
530,33-30,replacement,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[112]",*[108]|*[112]
531,33-31,employee,_,_,(Bdir) Object\_Direct[108]|(Bdir) Object\_Direct[113],*[108]|*[113]
532,33-32,to,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
533,33-33,cover,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
534,33-34,the,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
535,33-35,hours,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
536,33-36,during,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
537,33-37,which,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
538,33-38,the,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
539,33-39,employee,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
540,33-40,is,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
541,33-41,using,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
542,33-42,paid,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
543,33-43,sick,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
544,33-44,time,_,_,"(Bdir) Object\_Direct[108]|(Bdir, prop) Object\_Direct\_Property[114]",*[108]|*[114]
545,33-45,.,_,_,_,_
546,34-1,(,_,_,_,_
547,34-2,e,_,_,_,_
548,34-3,),_,_,_,_
549,34-4,USE,_,_,_,_
550,34-5,OF,_,_,_,_
551,34-6,PAID,_,_,_,_
552,34-7,SICK,_,_,_,_
553,34-8,TIME,_,_,_,_
554,34-9,.,_,_,_,_
555,34-10,-,_,_,_,_
556,34-11,-,_,_,_,_
557,34-12,(,_,_,_,_
558,34-13,1,_,_,_,_
559,34-14,),_,_,_,_
560,34-15,IN,_,_,_,_
561,34-16,GENERAL,_,_,_,_
562,34-17,.,_,_,_,_
563,34-18,-,_,_,_,_
564,34-19,-,_,_,_,_
565,34-20,The,(E) Constituted Entity[19],(B) Benefit[19],_,_
566,34-21,paid,(E) Constituted Entity[19],(B) Benefit[19],_,_
567,34-22,sick,(E) Constituted Entity[19],(B) Benefit[19],_,_
568,34-23,time,(E) Constituted Entity[19],(B) Benefit[19],_,_
569,34-24,under,"(E, prop) Constituted Entity Property[20]",(BP) Benefit Property[20],_,_
570,34-25,subsection,"(E, prop) Constituted Entity Property[20]",(BP) Benefit Property[20],_,_
571,34-26,(,"(E, prop) Constituted Entity Property[20]",(BP) Benefit Property[20],_,_
572,34-27,a,"(E, prop) Constituted Entity Property[20]",(BP) Benefit Property[20],_,_
573,34-28,),"(E, prop) Constituted Entity Property[20]",(BP) Benefit Property[20],_,_
574,34-29,shall,(D) Deontic,*,_,_
575,34-30,be,(F) Constitutive Function,*,_,_
576,34-31,available,(P) Constituting Property,*,_,_
577,34-32,for,"(P, prop) Constituting Property Property[21]",*[21],_,_
578,34-33,immediate,"(P, prop) Constituting Property Property[21]",*[21],_,_
579,34-34,use,"(P, prop) Constituting Property Property[21]",*[21],_,_
580,34-35,by,"(P, prop) Constituting Property Property[21]",*[21],_,_
581,34-36,the,"(P, prop) Constituting Property Property[21]",*[21],_,_
582,34-37,employee,"(P, prop) Constituting Property Property[21]",*[21],_,_
583,34-38,for,"(E, prop) Constituted Entity Property[22]",*[22],_,_
584,34-39,the,"(E, prop) Constituted Entity Property[22]",*[22],_,_
585,34-40,purposes,"(E, prop) Constituted Entity Property[22]",*[22],_,_
586,34-41,described,"(E, prop) Constituted Entity Property[22]",*[22],_,_
587,34-42,in,"(E, prop) Constituted Entity Property[22]",*[22],_,_
588,34-43,such,"(E, prop) Constituted Entity Property[22]",*[22],_,_
589,34-44,subsection,"(E, prop) Constituted Entity Property[22]",*[22],_,_
590,34-45,",",_,_,_,_
591,34-46,regardless,(Cex) Execution Constraint[23],*[23],_,_
592,34-47,of,(Cex) Execution Constraint[23],*[23],_,_
593,34-48,how,(Cex) Execution Constraint[23],*[23],_,_
594,34-49,long,(Cex) Execution Constraint[23],*[23],_,_
595,34-50,the,(Cex) Execution Constraint[23],*[23],_,_
596,34-51,employee,(Cex) Execution Constraint[23],*[23],_,_
597,34-52,has,(Cex) Execution Constraint[23],*[23],_,_
598,34-53,been,(Cex) Execution Constraint[23],*[23],_,_
599,34-54,employed,(Cex) Execution Constraint[23],*[23],_,_
600,34-55,by,(Cex) Execution Constraint[23],*[23],_,_
601,34-56,an,(Cex) Execution Constraint[23],*[23],_,_
602,34-57,employer,(Cex) Execution Constraint[23],*[23],_,_
603,35-1,.,_,_,_,_
604,36-1,(,_,_,_,_
605,36-2,2,_,_,_,_
606,36-3,),_,_,_,_
607,36-4,SEQUENCING,_,_,_,_
608,36-5,.,_,_,_,_
609,36-6,-,_,_,_,_
610,36-7,-,_,_,_,_
611,36-8,(,_,_,_,_
612,36-9,A,_,_,_,_
613,36-10,),_,_,_,_
614,36-11,IN,_,_,_,_
615,36-12,GENERAL,_,_,_,_
616,36-13,.,_,_,_,_
617,37-1,-,_,_,_,_
618,37-2,-,_,_,_,_
619,37-3,An,_,_,(A) Attribute[115],(C) Claimant[115]
620,37-4,employee,_,_,(A) Attribute[115],(C) Claimant[115]
621,37-5,may,_,_,(D) Deontic,*
622,37-6,first,_,_,(Cex) Execution Constraint,*
623,37-7,use,_,_,(I) Aim,*
624,37-8,the,_,_,(Bdir) Object\_Direct[116],(B) Benefit[116]
625,37-9,paid,_,_,(Bdir) Object\_Direct[116],(B) Benefit[116]
626,37-10,sick,_,_,(Bdir) Object\_Direct[116],(B) Benefit[116]
627,37-11,time,_,_,(Bdir) Object\_Direct[116],(B) Benefit[116]
628,37-12,under,_,_,"(Bdir, prop) Object\_Direct\_Property[117]",(BP) Benefit Property[117]
629,37-13,subsection,_,_,"(Bdir, prop) Object\_Direct\_Property[117]",(BP) Benefit Property[117]
630,37-14,(,_,_,"(Bdir, prop) Object\_Direct\_Property[117]",(BP) Benefit Property[117]
631,37-15,a,_,_,"(Bdir, prop) Object\_Direct\_Property[117]",(BP) Benefit Property[117]
632,37-16,),_,_,"(Bdir, prop) Object\_Direct\_Property[117]",(BP) Benefit Property[117]
633,37-17,for,_,_,(Cex) Execution Constraint[118],*[118]
634,37-18,the,_,_,(Cex) Execution Constraint[118],*[118]
635,37-19,purposes,_,_,(Cex) Execution Constraint[118],*[118]
636,37-20,described,_,_,(Cex) Execution Constraint[118],*[118]
637,37-21,in,_,_,(Cex) Execution Constraint[118],*[118]
638,37-22,such,_,_,(Cex) Execution Constraint[118],*[118]
639,37-23,subsection,_,_,(Cex) Execution Constraint[118],*[118]
640,37-24,.,_,_,_,_
641,38-1,(,_,_,_,_
642,38-2,B,_,_,_,_
643,38-3,),_,_,_,_
644,38-4,PROHIBITION,_,_,_,_
645,38-5,.,_,_,_,_
646,39-1,-,_,_,_,_
647,39-2,-,_,_,_,_
648,39-3,An,_,_,(A) Attribute[119],*[119]
649,39-4,employer,_,_,(A) Attribute[119],*[119]
650,39-5,may,_,_,(D) Deontic,*
651,39-6,not,_,_,_,_
652,39-7,require,_,_,(I) Aim,*
653,39-8,an,_,_,(Bdir) Object\_Direct[120],(C) Claimant[120]
654,39-9,employee,_,_,(Bdir) Object\_Direct[120],(C) Claimant[120]
655,39-10,to,_,_,*[121],*[121]
656,39-11,use,_,_,*[121],*[121]
657,39-12,other,_,_,*[121],*[121]
658,39-13,paid,_,_,*[121],*[121]
659,39-14,leave,_,_,*[121],*[121]
660,39-15,provided,_,_,*[121],*[121]
661,39-16,by,_,_,*[121],*[121]
662,39-17,the,_,_,*[121],*[121]
663,39-18,employer,_,_,*[121],*[121]
664,39-19,to,_,_,*[121],*[121]
665,39-20,the,_,_,*[121],*[121]
666,39-21,employee,_,_,*[121],*[121]
667,39-22,before,_,_,(Cac) Activation Condition[122],*[122]
668,39-23,the,_,_,(Cac) Activation Condition[122],*[122]
669,39-24,employee,_,_,(Cac) Activation Condition[122]|(A) Attribute[123],*[122]|(C) Claimant[123]
